Series ID,Year,Period,Label,Value
CUSR0000SAH,1978,M01,1978 Jan,59.7
CUSR0000SAH,1978,M02,1978 Feb,60.1
CUSR0000SAH,1978,M03,1978 Mar,60.5
CUSR0000SAH,1978,M04,1978 Apr,61.0
CUSR0000SAH,1978,M05,1978 May,61.6
CUSR0000SAH,1978,M06,1978 Jun,62.1
CUSR0000SAH,1978,M07,1978 Jul,62.7
CUSR0000SAH,1978,M08,1978 Aug,63.1
CUSR0000SAH,1978,M09,1978 Sep,63.8
CUSR0000SAH,1978,M10,1978 Oct,64.5
CUSR0000SAH,1978,M11,1978 Nov,64.9
CUSR0000SAH,1978,M12,1978 Dec,65.2
CUSR0000SAH,1979,M01,1979 Jan,65.7
CUSR0000SAH,1979,M02,1979 Feb,66.5
CUSR0000SAH,1979,M03,1979 Mar,67.0
CUSR0000SAH,1979,M04,1979 Apr,67.7
CUSR0000SAH,1979,M05,1979 May,68.4
CUSR0000SAH,1979,M06,1979 Jun,69.3
CUSR0000SAH,1979,M07,1979 Jul,70.2
CUSR0000SAH,1979,M08,1979 Aug,71.2
CUSR0000SAH,1979,M09,1979 Sep,72.1
CUSR0000SAH,1979,M10,1979 Oct,73.1
CUSR0000SAH,1979,M11,1979 Nov,74.2
CUSR0000SAH,1979,M12,1979 Dec,75.2
CUSR0000SAH,1980,M01,1980 Jan,76.2
CUSR0000SAH,1980,M02,1980 Feb,77.2
CUSR0000SAH,1980,M03,1980 Mar,78.3
CUSR0000SAH,1980,M04,1980 Apr,79.4
CUSR0000SAH,1980,M05,1980 May,80.5
CUSR0000SAH,1980,M06,1980 Jun,82.0
CUSR0000SAH,1980,M07,1980 Jul,81.5
CUSR0000SAH,1980,M08,1980 Aug,81.8
CUSR0000SAH,1980,M09,1980 Sep,82.3
CUSR0000SAH,1980,M10,1980 Oct,83.4
CUSR0000SAH,1980,M11,1980 Nov,84.4
CUSR0000SAH,1980,M12,1980 Dec,85.5
CUSR0000SAH,1981,M01,1981 Jan,86.1
CUSR0000SAH,1981,M02,1981 Feb,86.6
CUSR0000SAH,1981,M03,1981 Mar,87.1
CUSR0000SAH,1981,M04,1981 Apr,87.8
CUSR0000SAH,1981,M05,1981 May,88.8
CUSR0000SAH,1981,M06,1981 Jun,89.8
