Series ID,Year,Period,Label,Value
CUSR0000SEEB,1978,M01,1978 Jan,57.5
CUSR0000SEEB,1978,M02,1978 Feb,58.0
CUSR0000SEEB,1978,M03,1978 Mar,58.5
CUSR0000SEEB,1978,M04,1978 Apr,58.9
CUSR0000SEEB,1978,M05,1978 May,59.5
CUSR0000SEEB,1978,M06,1978 Jun,60.0
CUSR0000SEEB,1978,M07,1978 Jul,60.3
CUSR0000SEEB,1978,M08,1978 Aug,61.0
CUSR0000SEEB,1978,M09,1978 Sep,60.4
CUSR0000SEEB,1978,M10,1978 Oct,60.6
CUSR0000SEEB,1978,M11,1978 Nov,61.1
CUSR0000SEEB,1978,M12,1978 Dec,61.6
CUSR0000SEEB,1979,M01,1979 Jan,61.9
CUSR0000SEEB,1979,M02,1979 Feb,62.5
CUSR0000SEEB,1979,M03,1979 Mar,63.0
CUSR0000SEEB,1979,M04,1979 Apr,63.6
CUSR0000SEEB,1979,M05,1979 May,64.1
CUSR0000SEEB,1979,M06,1979 Jun,64.7
CUSR0000SEEB,1979,M07,1979 Jul,65.1
CUSR0000SEEB,1979,M08,1979 Aug,65.6
CUSR0000SEEB,1979,M09,1979 Sep,65.9
CUSR0000SEEB,1979,M10,1979 Oct,66.0
CUSR0000SEEB,1979,M11,1979 Nov,66.6
CUSR0000SEEB,1979,M12,1979 Dec,67.1
CUSR0000SEEB,1980,M01,1980 Jan,67.6
CUSR0000SEEB,1980,M02,1980 Feb,68.2
CUSR0000SEEB,1980,M03,1980 Mar,68.8
CUSR0000SEEB,1980,M04,1980 Apr,69.3
CUSR0000SEEB,1980,M05,1980 May,70.0
CUSR0000SEEB,1980,M06,1980 Jun,70.6
CUSR0000SEEB,1980,M07,1980 Jul,71.0
CUSR0000SEEB,1980,M08,1980 Aug,71.7
CUSR0000SEEB,1980,M09,1980 Sep,73.6
CUSR0000SEEB,1980,M10,1980 Oct,73.9
CUSR0000SEEB,1980,M11,1980 Nov,74.5
CUSR0000SEEB,1980,M12,1980 Dec,75.1
CUSR0000SEEB,1981,M01,1981 Jan,75.8
CUSR0000SEEB,1981,M02,1981 Feb,76.4
CUSR0000SEEB,1981,M03,1981 Mar,77.0
CUSR0000SEEB,1981,M04,1981 Apr,77.6
CUSR0000SEEB,1981,M05,1981 May,78.3
CUSR0000SEEB,1981,M06,1981 Jun,79.0
CUSR0000SEEB,1981,M07,1981 Jul,79.8
CUSR0000SEEB,1981,M08,1981 Aug,80.5
CUSR0000SEEB,1981,M09,1981 Sep,82.5
CUSR0000SEEB,1981,M10,1981 Oct,83.2
CUSR0000SEEB,1981,M11,1981 Nov,84.0
CUSR0000SEEB,1981,M12,1981 Dec,84.8
CUSR0000SEEB,1982,M01,1982 Jan,86.0
CUSR0000SEEB,1982,M02,1982 Feb,86.8
CUSR0000SEEB,1982,M03,1982 Mar,87.7
CUSR0000SEEB,1982,M04,1982 Apr,88.5
CUSR0000SEEB,1982,M05,1982 May,89.3
CUSR0000SEEB,1982,M06,1982 Jun,90.1
CUSR0000SEEB,1982,M07,1982 Jul,90.9
CUSR0000SEEB,1982,M08,1982 Aug,91.6
CUSR0000SEEB,1982,M09,1982 Sep,92.7
CUSR0000SEEB,1982,M10,1982 Oct,93.3
CUSR0000SEEB,1982,M11,1982 Nov,94.2
CUSR0000SEEB,1982,M12,1982 Dec,95.0
CUSR0000SEEB,1983,M01,1983 Jan,95.6
CUSR0000SEEB,1983,M02,1983 Feb,96.5
CUSR0000SEEB,1983,M03,1983 Mar,97.1
CUSR0000SEEB,1983,M04,1983 Apr,97.9
CUSR0000SEEB,1983,M05,1983 May,98.8
CUSR0000SEEB,1983,M06,1983 Jun,99.5
CUSR0000SEEB,1983,M07,1983 Jul,100.4
CUSR0000SEEB,1983,M08,1983 Aug,101.1
CUSR0000SEEB,1983,M09,1983 Sep,100.0
CUSR0000SEEB,1983,M10,1983 Oct,102.3
CUSR0000SEEB,1983,M11,1983 Nov,103.1
CUSR0000SEEB,1983,M12,1983 Dec,103.9
CUSR0000SEEB,1984,M01,1984 Jan,104.8
CUSR0000SEEB,1984,M02,1984 Feb,105.7
CUSR0000SEEB,1984,M03,1984 Mar,107.0
CUSR0000SEEB,1984,M04,1984 Apr,107.7
CUSR0000SEEB,1984,M05,1984 May,108.4
CUSR0000SEEB,1984,M06,1984 Jun,109.3
CUSR0000SEEB,1984,M07,1984 Jul,110.2
CUSR0000SEEB,1984,M08,1984 Aug,110.7
CUSR0000SEEB,1984,M09,1984 Sep,112.3
CUSR0000SEEB,1984,M10,1984 Oct,112.9
CUSR0000SEEB,1984,M11,1984 Nov,113.7
CUSR0000SEEB,1984,M12,1984 Dec,114.5
CUSR0000SEEB,1985,M01,1985 Jan,115.3
CUSR0000SEEB,1985,M02,1985 Feb,116.2
CUSR0000SEEB,1985,M03,1985 Mar,116.9
CUSR0000SEEB,1985,M04,1985 Apr,117.6
CUSR0000SEEB,1985,M05,1985 May,118.4
CUSR0000SEEB,1985,M06,1985 Jun,119.2
CUSR0000SEEB,1985,M07,1985 Jul,120.2
CUSR0000SEEB,1985,M08,1985 Aug,120.6
CUSR0000SEEB,1985,M09,1985 Sep,121.9
CUSR0000SEEB,1985,M10,1985 Oct,122.5
CUSR0000SEEB,1985,M11,1985 Nov,123.5
CUSR0000SEEB,1985,M12,1985 Dec,124.3
CUSR0000SEEB,1986,M01,1986 Jan,125.1
CUSR0000SEEB,1986,M02,1986 Feb,125.9
CUSR0000SEEB,1986,M03,1986 Mar,126.7
CUSR0000SEEB,1986,M04,1986 Apr,127.5
CUSR0000SEEB,1986,M05,1986 May,128.3
CUSR0000SEEB,1986,M06,1986 Jun,129.0
CUSR0000SEEB,1986,M07,1986 Jul,129.7
CUSR0000SEEB,1986,M08,1986 Aug,130.2
CUSR0000SEEB,1986,M09,1986 Sep,132.4
CUSR0000SEEB,1986,M10,1986 Oct,132.7
CUSR0000SEEB,1986,M11,1986 Nov,133.4
CUSR0000SEEB,1986,M12,1986 Dec,134.2
CUSR0000SEEB,1987,M01,1987 Jan,135.4
CUSR0000SEEB,1987,M02,1987 Feb,136.1
CUSR0000SEEB,1987,M03,1987 Mar,137.0
CUSR0000SEEB,1987,M04,1987 Apr,138.0
CUSR0000SEEB,1987,M05,1987 May,138.9
CUSR0000SEEB,1987,M06,1987 Jun,139.8
CUSR0000SEEB,1987,M07,1987 Jul,140.7
CUSR0000SEEB,1987,M08,1987 Aug,141.4
CUSR0000SEEB,1987,M09,1987 Sep,141.4
CUSR0000SEEB,1987,M10,1987 Oct,142.7
CUSR0000SEEB,1987,M11,1987 Nov,143.6
CUSR0000SEEB,1987,M12,1987 Dec,144.8
CUSR0000SEEB,1988,M01,1988 Jan,145.5
CUSR0000SEEB,1988,M02,1988 Feb,147.0
CUSR0000SEEB,1988,M03,1988 Mar,147.8
CUSR0000SEEB,1988,M04,1988 Apr,148.8
CUSR0000SEEB,1988,M05,1988 May,149.7
CUSR0000SEEB,1988,M06,1988 Jun,150.8
CUSR0000SEEB,1988,M07,1988 Jul,151.5
CUSR0000SEEB,1988,M08,1988 Aug,153.3
CUSR0000SEEB,1988,M09,1988 Sep,153.2
CUSR0000SEEB,1988,M10,1988 Oct,154.0
CUSR0000SEEB,1988,M11,1988 Nov,155.0
CUSR0000SEEB,1988,M12,1988 Dec,155.9
CUSR0000SEEB,1989,M01,1989 Jan,157.1
CUSR0000SEEB,1989,M02,1989 Feb,158.1
CUSR0000SEEB,1989,M03,1989 Mar,159.2
CUSR0000SEEB,1989,M04,1989 Apr,160.1
CUSR0000SEEB,1989,M05,1989 May,161.1
CUSR0000SEEB,1989,M06,1989 Jun,161.8
CUSR0000SEEB,1989,M07,1989 Jul,162.9
CUSR0000SEEB,1989,M08,1989 Aug,164.3
CUSR0000SEEB,1989,M09,1989 Sep,165.4
CUSR0000SEEB,1989,M10,1989 Oct,166.4
CUSR0000SEEB,1989,M11,1989 Nov,167.4
CUSR0000SEEB,1989,M12,1989 Dec,168.3
CUSR0000SEEB,1990,M01,1990 Jan,169.5
CUSR0000SEEB,1990,M02,1990 Feb,170.5
CUSR0000SEEB,1990,M03,1990 Mar,171.5
CUSR0000SEEB,1990,M04,1990 Apr,172.6
CUSR0000SEEB,1990,M05,1990 May,174.0
CUSR0000SEEB,1990,M06,1990 Jun,175.0
CUSR0000SEEB,1990,M07,1990 Jul,176.5
CUSR0000SEEB,1990,M08,1990 Aug,178.4
CUSR0000SEEB,1990,M09,1990 Sep,178.4
CUSR0000SEEB,1990,M10,1990 Oct,179.5
CUSR0000SEEB,1990,M11,1990 Nov,180.6
CUSR0000SEEB,1990,M12,1990 Dec,181.8
CUSR0000SEEB,1991,M01,1991 Jan,183.5
CUSR0000SEEB,1991,M02,1991 Feb,184.9
CUSR0000SEEB,1991,M03,1991 Mar,186.2
CUSR0000SEEB,1991,M04,1991 Apr,187.5
CUSR0000SEEB,1991,M05,1991 May,188.7
CUSR0000SEEB,1991,M06,1991 Jun,190.0
CUSR0000SEEB,1991,M07,1991 Jul,191.4
CUSR0000SEEB,1991,M08,1991 Aug,192.1
CUSR0000SEEB,1991,M09,1991 Sep,196.5
CUSR0000SEEB,1991,M10,1991 Oct,197.3
CUSR0000SEEB,1991,M11,1991 Nov,198.4
CUSR0000SEEB,1991,M12,1991 Dec,199.6
CUSR0000SEEB,1992,M01,1992 Jan,200.7
CUSR0000SEEB,1992,M02,1992 Feb,201.9
CUSR0000SEEB,1992,M03,1992 Mar,203.5
CUSR0000SEEB,1992,M04,1992 Apr,205.0
CUSR0000SEEB,1992,M05,1992 May,206.3
CUSR0000SEEB,1992,M06,1992 Jun,207.8
CUSR0000SEEB,1992,M07,1992 Jul,208.8
CUSR0000SEEB,1992,M08,1992 Aug,210.0
CUSR0000SEEB,1992,M09,1992 Sep,212.1
CUSR0000SEEB,1992,M10,1992 Oct,213.7
CUSR0000SEEB,1992,M11,1992 Nov,215.0
CUSR0000SEEB,1992,M12,1992 Dec,216.7
CUSR0000SEEB,1993,M01,1993 Jan,218.3
CUSR0000SEEB,1993,M02,1993 Feb,219.6
CUSR0000SEEB,1993,M03,1993 Mar,220.9
CUSR0000SEEB,1993,M04,1993 Apr,222.2
CUSR0000SEEB,1993,M05,1993 May,223.4
CUSR0000SEEB,1993,M06,1993 Jun,224.8
CUSR0000SEEB,1993,M07,1993 Jul,226.0
CUSR0000SEEB,1993,M08,1993 Aug,227.0
CUSR0000SEEB,1993,M09,1993 Sep,228.5
CUSR0000SEEB,1993,M10,1993 Oct,229.6
CUSR0000SEEB,1993,M11,1993 Nov,231.0
CUSR0000SEEB,1993,M12,1993 Dec,232.2
CUSR0000SEEB,1994,M01,1994 Jan,233.4
CUSR0000SEEB,1994,M02,1994 Feb,234.6
CUSR0000SEEB,1994,M03,1994 Mar,235.8
CUSR0000SEEB,1994,M04,1994 Apr,236.9
CUSR0000SEEB,1994,M05,1994 May,238.3
CUSR0000SEEB,1994,M06,1994 Jun,239.5
CUSR0000SEEB,1994,M07,1994 Jul,240.5
CUSR0000SEEB,1994,M08,1994 Aug,241.6
CUSR0000SEEB,1994,M09,1994 Sep,242.6
CUSR0000SEEB,1994,M10,1994 Oct,243.8
CUSR0000SEEB,1994,M11,1994 Nov,245.0
CUSR0000SEEB,1994,M12,1994 Dec,246.1
CUSR0000SEEB,1995,M01,1995 Jan,247.3
CUSR0000SEEB,1995,M02,1995 Feb,249.1
CUSR0000SEEB,1995,M03,1995 Mar,250.1
CUSR0000SEEB,1995,M04,1995 Apr,251.0
CUSR0000SEEB,1995,M05,1995 May,252.0
CUSR0000SEEB,1995,M06,1995 Jun,253.0
CUSR0000SEEB,1995,M07,1995 Jul,254.2
CUSR0000SEEB,1995,M08,1995 Aug,255.6
CUSR0000SEEB,1995,M09,1995 Sep,256.8
CUSR0000SEEB,1995,M10,1995 Oct,257.8
CUSR0000SEEB,1995,M11,1995 Nov,259.0
CUSR0000SEEB,1995,M12,1995 Dec,260.1
CUSR0000SEEB,1996,M01,1996 Jan,261.2
CUSR0000SEEB,1996,M02,1996 Feb,262.4
CUSR0000SEEB,1996,M03,1996 Mar,263.4
CUSR0000SEEB,1996,M04,1996 Apr,264.8
CUSR0000SEEB,1996,M05,1996 May,265.7
CUSR0000SEEB,1996,M06,1996 Jun,266.7
CUSR0000SEEB,1996,M07,1996 Jul,267.8
CUSR0000SEEB,1996,M08,1996 Aug,268.7
CUSR0000SEEB,1996,M09,1996 Sep,269.6
CUSR0000SEEB,1996,M10,1996 Oct,270.7
CUSR0000SEEB,1996,M11,1996 Nov,271.8
CUSR0000SEEB,1996,M12,1996 Dec,272.9
CUSR0000SEEB,1997,M01,1997 Jan,274.1
CUSR0000SEEB,1997,M02,1997 Feb,275.1
CUSR0000SEEB,1997,M03,1997 Mar,276.1
CUSR0000SEEB,1997,M04,1997 Apr,277.1
CUSR0000SEEB,1997,M05,1997 May,278.5
CUSR0000SEEB,1997,M06,1997 Jun,279.6
CUSR0000SEEB,1997,M07,1997 Jul,280.7
CUSR0000SEEB,1997,M08,1997 Aug,282.1
CUSR0000SEEB,1997,M09,1997 Sep,283.5
CUSR0000SEEB,1997,M10,1997 Oct,284.7
CUSR0000SEEB,1997,M11,1997 Nov,285.8
CUSR0000SEEB,1997,M12,1997 Dec,287.1
CUSR0000SEEB,1998,M01,1998 Jan,288.3
CUSR0000SEEB,1998,M02,1998 Feb,289.1
CUSR0000SEEB,1998,M03,1998 Mar,290.4
CUSR0000SEEB,1998,M04,1998 Apr,291.8
CUSR0000SEEB,1998,M05,1998 May,293.2
CUSR0000SEEB,1998,M06,1998 Jun,293.9
CUSR0000SEEB,1998,M07,1998 Jul,294.9
CUSR0000SEEB,1998,M08,1998 Aug,295.9
CUSR0000SEEB,1998,M09,1998 Sep,296.8
CUSR0000SEEB,1998,M10,1998 Oct,297.7
CUSR0000SEEB,1998,M11,1998 Nov,298.8
CUSR0000SEEB,1998,M12,1998 Dec,300.2
CUSR0000SEEB,1999,M01,1999 Jan,301.5
CUSR0000SEEB,1999,M02,1999 Feb,303.1
CUSR0000SEEB,1999,M03,1999 Mar,304.4
CUSR0000SEEB,1999,M04,1999 Apr,305.6
CUSR0000SEEB,1999,M05,1999 May,306.8
CUSR0000SEEB,1999,M06,1999 Jun,307.9
CUSR0000SEEB,1999,M07,1999 Jul,309.3
CUSR0000SEEB,1999,M08,1999 Aug,309.9
CUSR0000SEEB,1999,M09,1999 Sep,311.1
CUSR0000SEEB,1999,M10,1999 Oct,312.3
CUSR0000SEEB,1999,M11,1999 Nov,313.6
CUSR0000SEEB,1999,M12,1999 Dec,314.8
CUSR0000SEEB,2000,M01,2000 Jan,316.3
CUSR0000SEEB,2000,M02,2000 Feb,317.8
CUSR0000SEEB,2000,M03,2000 Mar,319.3
CUSR0000SEEB,2000,M04,2000 Apr,320.8
CUSR0000SEEB,2000,M05,2000 May,322.2
CUSR0000SEEB,2000,M06,2000 Jun,324.6
CUSR0000SEEB,2000,M07,2000 Jul,325.8
CUSR0000SEEB,2000,M08,2000 Aug,325.3
CUSR0000SEEB,2000,M09,2000 Sep,326.3
CUSR0000SEEB,2000,M10,2000 Oct,328.2
CUSR0000SEEB,2000,M11,2000 Nov,329.5
CUSR0000SEEB,2000,M12,2000 Dec,331.0
CUSR0000SEEB,2001,M01,2001 Jan,332.2
CUSR0000SEEB,2001,M02,2001 Feb,333.5
CUSR0000SEEB,2001,M03,2001 Mar,335.1
CUSR0000SEEB,2001,M04,2001 Apr,336.7
CUSR0000SEEB,2001,M05,2001 May,338.5
CUSR0000SEEB,2001,M06,2001 Jun,340.1
CUSR0000SEEB,2001,M07,2001 Jul,341.6
CUSR0000SEEB,2001,M08,2001 Aug,343.5
CUSR0000SEEB,2001,M09,2001 Sep,345.0
CUSR0000SEEB,2001,M10,2001 Oct,347.0
CUSR0000SEEB,2001,M11,2001 Nov,348.7
CUSR0000SEEB,2001,M12,2001 Dec,350.4
CUSR0000SEEB,2002,M01,2002 Jan,351.9
CUSR0000SEEB,2002,M02,2002 Feb,353.7
CUSR0000SEEB,2002,M03,2002 Mar,355.5
CUSR0000SEEB,2002,M04,2002 Apr,357.1
CUSR0000SEEB,2002,M05,2002 May,358.9
CUSR0000SEEB,2002,M06,2002 Jun,361.2
CUSR0000SEEB,2002,M07,2002 Jul,363.1
CUSR0000SEEB,2002,M08,2002 Aug,365.0
CUSR0000SEEB,2002,M09,2002 Sep,367.1
CUSR0000SEEB,2002,M10,2002 Oct,368.7
CUSR0000SEEB,2002,M11,2002 Nov,370.4
CUSR0000SEEB,2002,M12,2002 Dec,372.0
CUSR0000SEEB,2003,M01,2003 Jan,374.2
CUSR0000SEEB,2003,M02,2003 Feb,376.2
CUSR0000SEEB,2003,M03,2003 Mar,378.2
CUSR0000SEEB,2003,M04,2003 Apr,380.5
CUSR0000SEEB,2003,M05,2003 May,382.5
CUSR0000SEEB,2003,M06,2003 Jun,384.3
CUSR0000SEEB,2003,M07,2003 Jul,386.4
CUSR0000SEEB,2003,M08,2003 Aug,391.2
CUSR0000SEEB,2003,M09,2003 Sep,393.7
CUSR0000SEEB,2003,M10,2003 Oct,395.4
CUSR0000SEEB,2003,M11,2003 Nov,397.1
CUSR0000SEEB,2003,M12,2003 Dec,399.5
CUSR0000SEEB,2004,M01,2004 Jan,402.1
CUSR0000SEEB,2004,M02,2004 Feb,404.2
CUSR0000SEEB,2004,M03,2004 Mar,406.6
CUSR0000SEEB,2004,M04,2004 Apr,408.7
CUSR0000SEEB,2004,M05,2004 May,410.7
CUSR0000SEEB,2004,M06,2004 Jun,413.2
CUSR0000SEEB,2004,M07,2004 Jul,415.0
CUSR0000SEEB,2004,M08,2004 Aug,417.3
CUSR0000SEEB,2004,M09,2004 Sep,420.3
CUSR0000SEEB,2004,M10,2004 Oct,422.1
CUSR0000SEEB,2004,M11,2004 Nov,424.3
CUSR0000SEEB,2004,M12,2004 Dec,426.5
CUSR0000SEEB,2005,M01,2005 Jan,428.3
CUSR0000SEEB,2005,M02,2005 Feb,430.7
CUSR0000SEEB,2005,M03,2005 Mar,433.0
CUSR0000SEEB,2005,M04,2005 Apr,435.4
CUSR0000SEEB,2005,M05,2005 May,438.1
CUSR0000SEEB,2005,M06,2005 Jun,440.4
CUSR0000SEEB,2005,M07,2005 Jul,442.5
CUSR0000SEEB,2005,M08,2005 Aug,443.6
CUSR0000SEEB,2005,M09,2005 Sep,446.6
CUSR0000SEEB,2005,M10,2005 Oct,448.3
CUSR0000SEEB,2005,M11,2005 Nov,450.4
CUSR0000SEEB,2005,M12,2005 Dec,452.7
CUSR0000SEEB,2006,M01,2006 Jan,456.0
CUSR0000SEEB,2006,M02,2006 Feb,457.4
CUSR0000SEEB,2006,M03,2006 Mar,459.5
CUSR0000SEEB,2006,M04,2006 Apr,461.8
CUSR0000SEEB,2006,M05,2006 May,464.1
CUSR0000SEEB,2006,M06,2006 Jun,466.5
CUSR0000SEEB,2006,M07,2006 Jul,469.1
CUSR0000SEEB,2006,M08,2006 Aug,471.7
CUSR0000SEEB,2006,M09,2006 Sep,473.9
CUSR0000SEEB,2006,M10,2006 Oct,476.3
CUSR0000SEEB,2006,M11,2006 Nov,478.7
CUSR0000SEEB,2006,M12,2006 Dec,481.3
CUSR0000SEEB,2007,M01,2007 Jan,482.403
CUSR0000SEEB,2007,M02,2007 Feb,484.700
CUSR0000SEEB,2007,M03,2007 Mar,486.972
CUSR0000SEEB,2007,M04,2007 Apr,488.803
CUSR0000SEEB,2007,M05,2007 May,490.810
CUSR0000SEEB,2007,M06,2007 Jun,492.450
CUSR0000SEEB,2007,M07,2007 Jul,494.657
CUSR0000SEEB,2007,M08,2007 Aug,496.311
CUSR0000SEEB,2007,M09,2007 Sep,498.288
CUSR0000SEEB,2007,M10,2007 Oct,501.635
CUSR0000SEEB,2007,M11,2007 Nov,504.532
CUSR0000SEEB,2007,M12,2007 Dec,507.107
CUSR0000SEEB,2008,M01,2008 Jan,509.988
CUSR0000SEEB,2008,M02,2008 Feb,511.661
CUSR0000SEEB,2008,M03,2008 Mar,513.602
CUSR0000SEEB,2008,M04,2008 Apr,516.121
CUSR0000SEEB,2008,M05,2008 May,518.116
CUSR0000SEEB,2008,M06,2008 Jun,520.480
CUSR0000SEEB,2008,M07,2008 Jul,522.496
CUSR0000SEEB,2008,M08,2008 Aug,525.053
CUSR0000SEEB,2008,M09,2008 Sep,528.244
CUSR0000SEEB,2008,M10,2008 Oct,530.650
CUSR0000SEEB,2008,M11,2008 Nov,533.086
CUSR0000SEEB,2008,M12,2008 Dec,535.488
CUSR0000SEEB,2009,M01,2009 Jan,537.453
CUSR0000SEEB,2009,M02,2009 Feb,539.535
CUSR0000SEEB,2009,M03,2009 Mar,541.493
CUSR0000SEEB,2009,M04,2009 Apr,543.376
CUSR0000SEEB,2009,M05,2009 May,545.957
CUSR0000SEEB,2009,M06,2009 Jun,547.876
CUSR0000SEEB,2009,M07,2009 Jul,549.841
CUSR0000SEEB,2009,M08,2009 Aug,552.538
CUSR0000SEEB,2009,M09,2009 Sep,554.747
CUSR0000SEEB,2009,M10,2009 Oct,556.617
CUSR0000SEEB,2009,M11,2009 Nov,558.225
CUSR0000SEEB,2009,M12,2009 Dec,560.087
CUSR0000SEEB,2010,M01,2010 Jan,561.896
CUSR0000SEEB,2010,M02,2010 Feb,564.378
CUSR0000SEEB,2010,M03,2010 Mar,567.221
CUSR0000SEEB,2010,M04,2010 Apr,569.787
CUSR0000SEEB,2010,M05,2010 May,571.298
CUSR0000SEEB,2010,M06,2010 Jun,573.555
CUSR0000SEEB,2010,M07,2010 Jul,574.851
CUSR0000SEEB,2010,M08,2010 Aug,576.643
CUSR0000SEEB,2010,M09,2010 Sep,577.502
CUSR0000SEEB,2010,M10,2010 Oct,578.158
CUSR0000SEEB,2010,M11,2010 Nov,580.502
CUSR0000SEEB,2010,M12,2010 Dec,582.695
CUSR0000SEEB,2011,M01,2011 Jan,585.441
CUSR0000SEEB,2011,M02,2011 Feb,587.554
CUSR0000SEEB,2011,M03,2011 Mar,589.292
CUSR0000SEEB,2011,M04,2011 Apr,591.052
CUSR0000SEEB,2011,M05,2011 May,593.194
CUSR0000SEEB,2011,M06,2011 Jun,595.097
CUSR0000SEEB,2011,M07,2011 Jul,596.933
CUSR0000SEEB,2011,M08,2011 Aug,601.611
CUSR0000SEEB,2011,M09,2011 Sep,603.166
CUSR0000SEEB,2011,M10,2011 Oct,605.847
CUSR0000SEEB,2011,M11,2011 Nov,607.772
CUSR0000SEEB,2011,M12,2011 Dec,609.736
CUSR0000SEEB,2012,M01,2012 Jan,611.414
CUSR0000SEEB,2012,M02,2012 Feb,612.732
CUSR0000SEEB,2012,M03,2012 Mar,614.307
CUSR0000SEEB,2012,M04,2012 Apr,615.817
CUSR0000SEEB,2012,M05,2012 May,617.789
CUSR0000SEEB,2012,M06,2012 Jun,619.049
CUSR0000SEEB,2012,M07,2012 Jul,621.882
CUSR0000SEEB,2012,M08,2012 Aug,623.296
CUSR0000SEEB,2012,M09,2012 Sep,625.946
CUSR0000SEEB,2012,M10,2012 Oct,628.143
CUSR0000SEEB,2012,M11,2012 Nov,629.833
CUSR0000SEEB,2012,M12,2012 Dec,631.853
CUSR0000SEEB,2013,M01,2013 Jan,635.375
CUSR0000SEEB,2013,M02,2013 Feb,636.585
CUSR0000SEEB,2013,M03,2013 Mar,638.050
CUSR0000SEEB,2013,M04,2013 Apr,639.632
CUSR0000SEEB,2013,M05,2013 May,640.991
CUSR0000SEEB,2013,M06,2013 Jun,642.249
CUSR0000SEEB,2013,M07,2013 Jul,644.123
CUSR0000SEEB,2013,M08,2013 Aug,646.316
CUSR0000SEEB,2013,M09,2013 Sep,647.227
CUSR0000SEEB,2013,M10,2013 Oct,649.050
CUSR0000SEEB,2013,M11,2013 Nov,651.350
CUSR0000SEEB,2013,M12,2013 Dec,653.541
